ScanID,QRType,MachineID,MachineName,TechID,TechName,ScanDateTime,LinkedWOID,Action,CellID
SC-000001,Machine QR,MC-006,CNC Lathe TL-04,TECH-03,Mohammed Rafi,2024-09-04T18:49:00,WO-00056,Start PM Checklist,CELL-02
SC-000002,Machine QR,MC-001,CNC Lathe TL-01,TECH-02,Suresh Babu,2024-09-06T10:03:00,WO-00001,Start PM Checklist,CELL-01
SC-000003,Machine QR,MC-002,CNC Lathe TL-02,TECH-01,Arun Kumar,2024-09-13T08:38:00,WO-00002,Start PM Checklist,CELL-01
SC-000004,Machine QR,MC-007,CNC Lathe TL-05,TECH-02,Suresh Babu,2024-09-14T14:06:00,WO-00057,Start PM Checklist,CELL-02
SC-000005,Machine QR,MC-003,CNC Lathe TL-03,TECH-03,Mohammed Rafi,2024-09-15T17:45:00,WO-00003,Start PM Checklist,CELL-01
SC-000006,Machine QR,MC-008,VMC MC-01,TECH-01,Arun Kumar,2024-09-18T14:29:00,WO-00058,Start PM Checklist,CELL-02
SC-000007,Machine QR,MC-004,Bar Feeder BF-01,TECH-02,Suresh Babu,2024-09-20T08:00:00,WO-00004,Start PM Checklist,CELL-01
SC-000008,Machine QR,MC-009,VMC MC-02,TECH-03,Mohammed Rafi,2024-09-26T14:54:00,WO-00059,Start PM Checklist,CELL-02
SC-000009,Machine QR,MC-005,Chip Conveyor CC-01,TECH-01,Arun Kumar,2024-09-27T12:56:00,WO-00005,Start PM Checklist,CELL-01
SC-000010,Technician QR,,,TECH-02,Suresh Babu,2024-09-27T13:00:00,,Open My PM List,
SC-000011,Machine QR,MC-008,VMC MC-01,TECH-09,Sathish Kumar,2024-09-27T19:04:00,,View Last PM,CELL-02
SC-000012,Technician QR,,,TECH-01,Arun Kumar,2024-09-28T17:06:00,,Open My PM List,
SC-000013,Technician QR,,,TECH-04,Vignesh S,2024-09-28T21:39:00,,Open My PM List,
SC-000014,Machine QR,MC-021,Assembly Stn AS-03,TECH-06,Deepak Nair,2024-09-29T14:48:00,,Log Abnormality,CELL-05
SC-000015,Machine QR,MC-032,Hyd Press HP-02,TECH-03,Mohammed Rafi,2024-09-29T16:48:00,,Request Spare,CELL-08
SC-000016,Technician QR,,,TECH-03,Mohammed Rafi,2024-09-29T22:31:00,,Open My PM List,
SC-000017,Technician QR,,,TECH-06,Deepak Nair,2024-09-30T07:58:00,,Open My PM List,
SC-000018,Technician QR,,,TECH-02,Suresh Babu,2024-10-01T11:40:00,,Open My PM List,
SC-000019,Machine QR,MC-028,Robot Weld Cell RW-02,TECH-08,Karthik V,2024-10-01T14:58:00,,Log Abnormality,CELL-07
SC-000020,Machine QR,MC-013,Deburring Unit DB-01,TECH-01,Arun Kumar,2024-10-03T14:43:00,,Log Abnormality,CELL-03
SC-000021,Technician QR,,,TECH-03,Mohammed Rafi,2024-10-03T15:17:00,,Open My PM List,
SC-000022,Technician QR,,,TECH-07,Ramesh Chandran,2024-10-03T15:54:00,,Open My PM List,
SC-000023,Machine QR,MC-028,Robot Weld Cell RW-02,TECH-08,Karthik V,2024-10-03T17:48:00,,View Last PM,CELL-07
SC-000024,Machine QR,MC-007,CNC Lathe TL-05,TECH-03,Mohammed Rafi,2024-10-03T18:27:00,,Log Abnormality,CELL-02
SC-000025,Machine QR,MC-017,Quench Oil Chiller CH-01,TECH-07,Ramesh Chandran,2024-10-05T10:34:00,,View Last PM,CELL-04
SC-000026,Technician QR,,,TECH-05,Prakash R,2024-10-05T14:33:00,,Open My PM List,
SC-000027,Technician QR,,,TECH-06,Deepak Nair,2024-10-06T15:49:00,,Open My PM List,
SC-000028,Technician QR,,,TECH-07,Ramesh Chandran,2024-10-07T10:38:00,,Open My PM List,
SC-000029,Technician QR,,,TECH-07,Ramesh Chandran,2024-10-08T15:06:00,,Open My PM List,
SC-000030,Technician QR,,,TECH-09,Sathish Kumar,2024-10-09T08:45:00,,Open My PM List,
SC-000031,Technician QR,,,TECH-10,Naveen Raj,2024-10-09T10:13:00,,Open My PM List,
SC-000032,Machine QR,MC-010,Gear Hobber GH-01,TECH-03,Mohammed Rafi,2024-10-09T13:29:00,WO-00092,Start PM Checklist,CELL-03
SC-000033,Machine QR,MC-001,CNC Lathe TL-01,TECH-03,Mohammed Rafi,2024-10-09T19:35:00,,Request Spare,CELL-01
SC-000034,Technician QR,,,TECH-10,Naveen Raj,2024-10-09T19:52:00,,Open My PM List,
SC-000035,Machine QR,MC-031,Hyd Press HP-01,TECH-02,Suresh Babu,2024-10-11T10:59:00,,Report Breakdown,CELL-08
SC-000036,Machine QR,MC-021,Assembly Stn AS-03,TECH-08,Karthik V,2024-10-11T21:29:00,,View Last PM,CELL-05
SC-000037,Technician QR,,,TECH-08,Karthik V,2024-10-12T06:14:00,,Open My PM List,
SC-000038,Technician QR,,,TECH-02,Suresh Babu,2024-10-13T16:48:00,,Open My PM List,
SC-000039,Technician QR,,,TECH-10,Naveen Raj,2024-10-13T21:13:00,,Open My PM List,
SC-000040,Technician QR,,,TECH-08,Karthik V,2024-10-13T22:33:00,,Open My PM List,
SC-000041,Technician QR,,,TECH-10,Naveen Raj,2024-10-14T11:17:00,,Open My PM List,
SC-000042,Technician QR,,,TECH-03,Mohammed Rafi,2024-10-14T14:01:00,,Open My PM List,
SC-000043,Technician QR,,,TECH-09,Sathish Kumar,2024-10-14T18:02:00,,Open My PM List,
SC-000044,Machine QR,MC-003,CNC Lathe TL-03,TECH-05,Prakash R,2024-10-14T19:13:00,,View Last PM,CELL-01
SC-000045,Machine QR,MC-019,Assembly Stn AS-01,TECH-02,Suresh Babu,2024-10-15T12:58:00,,Report Breakdown,CELL-05
SC-000046,Technician QR,,,TECH-04,Vignesh S,2024-10-15T14:09:00,,Open My PM List,
SC-000047,Technician QR,,,TECH-07,Ramesh Chandran,2024-10-15T14:22:00,,Open My PM List,
SC-000048,Machine QR,MC-001,CNC Lathe TL-01,TECH-10,Naveen Raj,2024-10-16T07:06:00,,View Last PM,CELL-01
SC-000049,Machine QR,MC-031,Hyd Press HP-01,TECH-05,Prakash R,2024-10-16T09:26:00,,Report Breakdown,CELL-08
SC-000050,Machine QR,MC-033,Press Feeder PF-01,TECH-09,Sathish Kumar,2024-10-16T10:05:00,,Log Abnormality,CELL-08
SC-000051,Technician QR,,,TECH-06,Deepak Nair,2024-10-16T18:08:00,,Open My PM List,
SC-000052,Technician QR,,,TECH-01,Arun Kumar,2024-10-17T18:26:00,,Open My PM List,
SC-000053,Machine QR,MC-031,Hyd Press HP-01,TECH-10,Naveen Raj,2024-10-18T08:10:00,,Report Breakdown,CELL-08
SC-000054,Technician QR,,,TECH-04,Vignesh S,2024-10-19T19:07:00,,Open My PM List,
SC-000055,Machine QR,MC-032,Hyd Press HP-02,TECH-06,Deepak Nair,2024-10-20T14:51:00,,Record Spare Replaced,CELL-08
SC-000056,Machine QR,MC-031,Hyd Press HP-01,TECH-09,Sathish Kumar,2024-10-20T20:22:00,,View Last PM,CELL-08
SC-000057,Technician QR,,,TECH-09,Sathish Kumar,2024-10-21T07:40:00,,Open My PM List,
SC-000058,Technician QR,,,TECH-04,Vignesh S,2024-10-21T15:23:00,,Open My PM List,
SC-000059,Machine QR,MC-024,Paint Booth PB-01,TECH-03,Mohammed Rafi,2024-10-21T22:51:00,,Record Spare Replaced,CELL-06
SC-000060,Machine QR,MC-019,Assembly Stn AS-01,TECH-07,Ramesh Chandran,2024-10-22T15:44:00,,Log Abnormality,CELL-05
SC-000061,Machine QR,MC-019,Assembly Stn AS-01,TECH-09,Sathish Kumar,2024-10-23T20:08:00,,Log Abnormality,CELL-05
SC-000062,Technician QR,,,TECH-09,Sathish Kumar,2024-10-23T22:16:00,,Open My PM List,
SC-000063,Machine QR,MC-013,Deburring Unit DB-01,TECH-03,Mohammed Rafi,2024-10-24T08:55:00,WO-00095,Start PM Checklist,CELL-03
